name,id,semester
Versionamiento de Código (Diagnóstico) - crea,git-assessment--9y0ybcimal,2023-1
Backend RoR (Diagnóstico),ruby-on-rails-a-r606a1tthm,2023-1
Data Science (Diagnóstico),data-engineer-a-kt2tyfkxhv,2023-1
Bases de Datos (Diagnóstico),sql-assessment--hqgjv2vidx,2023-1
Backend Python (Diagnóstico),nodejs-assessme-337gy3p10j,2023-1
Frontend Web (Diagnóstico),react-assessmen-oi7xulxw5k,2023-1
Móvil Multiplataforma (Diagnóstico),react-native-as-fc83ulmz4f,2023-1
Móvil Nativo (Diagnóstico),android-assessm-iv53qlfykk,2023-1
Machine Learning (Diagnóstico),machine-learnin-jvslzn6g08,2023-1
Infraestructura Cloud (Diagnóstico),devops-assessme-fp2pl210kq,2023-1
Aseguramiento de Calidad (Diagnóstico),python-assessme-mf7njysgq5,2023-1
Backend NodeJS (Diagnóstico),nodejs-assessme-nmucgnnt0i,2023-1
